Date,Attendance
6/11/2024,85.6806234256927
6/10/2024,84.60501577287067
6/07/2024,63.27047930283224
6/05/2024,84.65421618204805
6/04/2024,90.13037720706261
6/03/2024,85.96891512444161
5/31/2024,84.63512241054615
5/30/2024,86.74558197747184
5/29/2024,87.39749843260189
5/28/2024,86.44495603015075
5/24/2024,83.47914087176247
5/23/2024,86.6665179132621
5/22/2024,87.66284461152881
5/21/2024,87.84916040100251
5/20/2024,86.4229592476489
5/17/2024,85.31892230576442
5/16/2024,87.2178184110971
5/15/2024,86.18625392834694
5/14/2024,87.97282663316582
5/13/2024,85.55303201506592
5/10/2024,84.01083647798743
5/09/2024,87.78955974842766
5/08/2024,87.49311403508773
5/07/2024,89.35142498430635
5/06/2024,87.29834167709637
5/03/2024,85.54536095417451
5/02/2024,87.67664993726474
5/01/2024,86.50603513174404
4/19/2024,83.43192476489028
4/18/2024,86.6521608040201
4/17/2024,88.27109355246523
4/16/2024,88.92827067669172
4/15/2024,88.16444931163953
4/12/2024,86.32444304594085
4/11/2024,88.15431989924433
4/09/2024,88.34860727728983
4/08/2024,75.47142587939697
4/05/2024,86.18472519628835
4/04/2024,87.53326454033771
4/03/2024,83.94436283741368
4/02/2024,86.04922257053292
3/28/2024,83.30201628052599
3/27/2024,87.97789440603395
3/26/2024,88.01217747010699
3/25/2024,86.77976100628929
3/22/2024,82.50640251572327
3/21/2024,87.22580766813326
3/20/2024,87.93297738693467
3/19/2024,87.73707576706323
3/18/2024,87.05838567839197
3/15/2024,85.80668130489336
3/14/2024,85.54523676880223
3/13/2024,88.19271162123385
3/12/2024,87.94348997493734
3/11/2024,85.21793103448276
3/08/2024,86.91035153797866
3/07/2024,79.43216352201257
3/06/2024,88.74076923076923
3/05/2024,86.35552978056427
3/04/2024,87.23425345043914
3/01/2024,86.5306863979849
2/29/2024,88.41026481715006
2/28/2024,87.72823159219635
2/27/2024,88.29492163009405
2/26/2024,86.46916092673763
2/16/2024,84.24121003134795
2/15/2024,86.79616541353383
2/14/2024,88.20701875
2/13/2024,76.06114916286148
2/12/2024,86.23792821158692
2/09/2024,86.28625313283209
2/08/2024,88.24964691046658
2/07/2024,88.23150392017106
2/06/2024,87.97076777847703
2/05/2024,87.1947894406034
2/02/2024,85.56453350031309
2/01/2024,87.98018785222293
1/31/2024,88.30006281407036
1/30/2024,88.18474937343358
1/29/2024,86.86371024734983
1/26/2024,87.42981116584565
1/25/2024,89.34682747342602
1/24/2024,90.14252657399837
1/23/2024,90.32028806584361
1/22/2024,85.24325172630257
1/19/2024,83.5354670846395
1/18/2024,87.246756587202
1/17/2024,85.74932788944723
1/16/2024,74.11230527638192
1/12/2024,85.41110902255639
1/11/2024,87.96630025125627
1/10/2024,86.17001254705144
1/09/2024,86.1379887218045
1/08/2024,86.8228320802005
1/05/2024,83.75933667083854
1/04/2024,86.18226817042606
1/03/2024,85.69572681704261
1/02/2024,76.73761964735516
12/22/2023,78.41963032581454
12/21/2023,84.76025577043045
12/20/2023,86.17331025802392
12/19/2023,86.89676932746701
12/18/2023,72.40888607594937
12/15/2023,84.67312539382483
12/14/2023,87.06478917558213
12/13/2023,87.35491844416562
12/12/2023,87.48720469552458
12/11/2023,83.24549056603774
12/08/2023,85.50621706398995
12/07/2023,87.35780503144655
12/06/2023,88.12153508771928
12/05/2023,88.46640383198232
12/04/2023,87.61470588235294
12/01/2023,86.23644248900062
11/30/2023,88.35673020527861
11/29/2023,87.97262079062956
11/27/2023,86.83082894736843
11/22/2023,78.92012483574244
11/15/2023,89.42656856606135
11/14/2023,89.33486842105263
11/13/2023,88.7989546351085
11/10/2023,85.3569625
11/09/2023,87.10762063227952
11/08/2023,90.44208385481853
11/06/2023,88.87824010056568
11/03/2023,87.19559823677581
11/02/2023,81.15696741854637
11/01/2023,87.00984886649874
10/31/2023,86.02120451693851
10/30/2023,86.83465701699183
10/27/2023,87.54162790697673
10/26/2023,89.47822794117648
10/25/2023,89.78040803515378
10/24/2023,89.4788057825267
10/23/2023,88.6114213836478
10/20/2023,85.8028848560701
10/19/2023,89.91439622641508
10/17/2023,89.82749999999999
10/16/2023,88.95171267252195
10/13/2023,85.68143232588699
10/12/2023,89.84276315789472
10/11/2023,89.75582445141065
10/10/2023,89.43074074074073
10/06/2023,87.61633917396745
10/05/2023,90.08964846202134
10/04/2023,89.5634318038969
10/03/2023,89.99249529780565
10/02/2023,89.11940401505646
9/29/2023,75.12706030150754
9/28/2023,89.14303335431089
9/27/2023,89.22504696305573
9/26/2023,87.93158620689655
9/22/2023,86.95657663316582
9/21/2023,88.71448275862069
9/20/2023,88.85767063243583
9/19/2023,88.62177875549969
9/18/2023,84.909887076537
9/15/2023,87.16391959798995
9/14/2023,88.5643974763407
9/13/2023,87.76907605279699
9/12/2023,87.930138626339
9/11/2023,87.07817204301075
9/08/2023,81.40140306122449
6/27/2023,72.14171671018276
6/14/2023,89.89823140495868
6/13/2023,85.49258883248731
6/12/2023,84.01918302723242
6/09/2023,63.07796721311476
6/07/2023,83.4961111111111
6/06/2023,86.43966016362492
6/05/2023,86.01835116425426
6/02/2023,83.50561237373738
6/01/2023,89.15443829113923
5/31/2023,87.07505050505051
5/30/2023,85.36601764335224
5/26/2023,83.02766159695817
5/25/2023,87.23576196473553
5/24/2023,87.81930774071743
5/23/2023,87.89702141057934
5/22/2023,86.35079924480804
5/19/2023,84.72946202531645
5/18/2023,87.21408575031526
5/17/2023,87.51589049716803
5/16/2023,87.5323555276382
5/15/2023,84.72285624211854
5/12/2023,85.11084022915341
